"id","dist_a","dist_b","tiempo_a","tiempo_b","delta_ms","primero","etiqueta"
1,"35.40","30.08","1002164","1001861","-303","B","entrada"
2,"27.92","32.93","1005565","1005937","372","A","salida"
3,"37.01","38.74","100606","100548","-58","B","entrada"
4,"17.72","20.32","1010563","1010800","237","A","salida"
5,"35.86","38.06","1014277","1014217","-60","B","entrada"
6,"17.72","29.40","1017180","1017180","0","A","salida"
7,"25.31","23.10","102582","102406","-176","B","entrada"
8,"22.16","26.75","102735","103035","300","A","salida"
9,"29.21","29.05","1030448","1030329","-119","B","entrada"
10,"37.23","35.76","1033279","1033337","58","A","salida"
11,"33.10","30.08","1035579","1035461","-118","B","entrada"
12,"33.34","37.37","1038593","1038773","180","A","salida"
13,"36.99","32.19","1040834","1040590","-244","B","entrada"
14,"32.31","36.91","1044577","1044945","368","A","salida"
15,"35.88","83.81","1047265","1047140","-125","B","entrada"
16,"23.31","21.49","105976","105976","0","A","salida"
17,"35.88","34.49","107346","107226","-120","B","entrada"
18,"27.65","35.76","109064","109122","58","A","salida"
19,"28.49","66.78","110705","110291","-414","B","entrada"
20,"23.03","29.57","112364","112421","57","A","salida"
21,"32.04","31.13","112828","112710","-118","B","entrada"
22,"21.52","17.77","113652","113912","260","A","salida"
23,"38.40","35.04","116307","116249","-58","B","entrada"
24,"29.82","18.97","120011","120011","0","A","salida"
25,"39.55","35.98","124087","123968","-119","B","entrada"
26,"39.07","37.35","126620","126620","0","A","salida"
27,"28.19","26.46","131290","131173","-117","B","entrada"
28,"29.57","29.55","136821","136940","119","A","salida"
29,"31.90","16.81","141227","141043","-184","B","entrada"
30,"28.78","29.14","144545","144726","181","A","salida"
31,"29.72","29.41","148918","148800","-118","B","entrada"
32,"28.40","28.78","151993","152317","324","A","salida"
33,"38.38","35.26","155421","155179","-242","B","entrada"
34,"18.02","17.13","159257","159582","325","A","salida"
35,"31.11","999.00","162611","162337","-274","B","entrada"
36,"29.45","35.52","165310","165486","176","A","salida"
37,"28.95","44.61","171447","171210","-237","B","entrada"
38,"26.94","33.70","175302","175421","119","A","salida"
39,"31.80","16.50","176950","176892","-58","B","entrada"
40,"29.45","30.60","180703","180822","119","A","salida"
41,"34.11","30.85","181746","181511","-235","B","entrada"
42,"20.58","25.02","183409","183527","118","A","salida"
43,"34.61","29.55","187259","187141","-118","B","entrada"
44,"33.34","16.17","188177","188177","0","A","salida"
45,"36.79","36.34","190817","190696","-121","B","entrada"
46,"23.31","30.08","191048","191166","118","A","salida"
47,"23.31","16.17","19258","19020","-238","B","entrada"
48,"29.19","20.01","193700","193758","58","A","salida"
49,"38.36","34.75","194583","194524","-59","B","entrada"
50,"29.70","20.01","197379","197623","244","A","salida"
51,"37.47","33.97","201071","200889","-182","B","entrada"
52,"30.75","19.04","202694","202694","0","A","salida"
53,"36.10","31.90","204574","204516","-58","B","entrada"
54,"24.16","23.56","204756","205229","473","A","salida"
55,"36.53","55.89","208832","208712","-120","B","entrada"
56,"29.46","20.32","209861","209861","0","A","salida"
57,"26.96","28.19","210219","209956","-263","B","entrada"
58,"72.85","24.25","212556","212965","409","A","salida"
59,"36.55","16.19","215403","215346","-57","B","entrada"
60,"34.37","15.86","215890","216075","185","A","salida"
61,"39.74","999.00","217202","216878","-324","B","entrada"
62,"30.49","31.90","219972","220151","179","A","salida"
63,"33.34","27.73","224215","223919","-296","B","entrada"
64,"11.51","35.88","22659","22659","0","A","salida"
65,"38.16","32.16","226683","226564","-119","B","entrada"
66,"24.64","29.57","227543","227661","118","A","salida"
67,"39.41","36.67","230779","230720","-59","B","entrada"
68,"15.80","39.89","23202","23320","118","A","salida"
69,"37.90","23.96","233117","232999","-118","B","entrada"
70,"18.66","28.78","233853","233853","0","A","salida"
71,"25.62","29.65","234248","234073","-175","B","entrada"
72,"15.80","22.81","234691","234808","117","A","salida"
73,"17.06","15.86","237720","237483","-237","B","entrada"
74,"21.21","22.52","240323","240684","361","A","salida"
75,"28.95","29.38","241728","241551","-177","B","entrada"
76,"18.02","29.31","241800","241800","0","A","salida"
77,"29.46","25.12","243131","243074","-57","B","entrada"
78,"25.81","22.23","245900","245900","0","A","salida"
79,"28.67","36.44","254128","254069","-59","B","entrada"
80,"29.19","32.41","255482","255541","59","A","salida"
81,"30.75","27.63","260299","260037","-262","B","entrada"
